State,City,Month,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Alabama,Birmingham,1,44.43,43.02,44.67,47.26,50.40,45.02,40.41,47.00,39.13,43.45,48.50,51.31,46.38,43.07,44.58,38.66,40.30,50.49,48.55,36.65,42.33,42.35,52.05,39.89,44.81,50.17
Alabama,Birmingham,2,46.73,46.40,50.67,48.17,51.52,52.50,51.30,45.23,47.13,45.26,50.56,44.88,44.71,49.30,48.36,39.96,49.96,51.77,46.53,45.83,39.27,49.41,56.19,57.51,55.18,50.32
Alabama,Birmingham,3,57.34,50.26,59.90,52.91,51.64,58.22,49.93,55.34,56.91,59.45,53.54,55.70,61.92,55.79,57.36,50.43,57.26,65.46,49.39,52.04,56.36,59.96,58.34,55.45,54.57,63.06
Alabama,Birmingham,4,63.89,59.92,58.72,60.93,67.45,59.56,64.84,65.96,64.20,62.20,61.79,67.84,60.72,63.46,62.81,65.55,66.66,65.81,62.58,63.50,65.65,64.25,69.01,60.31,64.70,61.51
Alabama,Birmingham,5,72.13,73.37,67.31,73.30,70.17,74.36,71.07,70.00,70.53,73.41,67.97,71.04,73.27,70.63,70.48,72.90,71.10,74.03,68.71,71.25,71.93,70.99,71.05,74.63,75.09,63.63
Alabama,Birmingham,6,74.96,76.38,73.20,80.57,76.64,77.36,75.36,76.40,74.71,75.58,76.20,78.95,80.21,78.86,79.69,80.65,81.99,78.51,78.46,77.47,79.83,79.81,75.90,78.62,78.05,
Alabama,Birmingham,7,82.08,79.19,79.77,80.91,80.97,81.91,79.41,79.70,78.41,79.05,79.38,82.34,78.88,80.65,78.25,83.47,81.72,82.46,77.39,78.43,81.49,82.55,80.46,80.65,81.37,
Alabama,Birmingham,8,82.91,77.29,77.08,79.64,83.37,80.94,77.84,80.45,79.26,75.82,80.22,82.53,85.98,79.00,77.94,83.24,82.70,77.76,77.51,79.87,78.57,81.80,78.62,79.96,80.87,
Alabama,Birmingham,9,73.65,71.14,74.41,77.92,74.72,73.99,71.16,76.84,73.40,73.38,77.36,73.11,76.74,74.50,73.88,77.65,72.10,72.55,74.92,76.17,74.21,79.56,72.97,79.73,81.68,
Alabama,Birmingham,10,62.88,62.19,62.45,66.93,63.26,65.30,60.22,66.86,63.45,67.94,62.76,62.36,67.26,62.63,62.03,64.94,60.70,61.89,64.76,65.78,65.10,69.88,65.65,67.22,67.65,
Alabama,Birmingham,11,48.20,52.35,49.49,57.47,55.26,52.10,58.31,50.67,58.38,57.50,56.43,53.22,53.89,51.08,53.06,55.02,56.05,50.76,51.02,48.72,58.85,58.44,55.28,49.48,50.35,
Alabama,Birmingham,12,43.29,49.53,43.49,52.11,46.87,37.70,49.71,44.67,43.74,44.81,42.81,49.28,51.48,49.52,44.11,39.79,48.91,50.81,47.02,48.60,57.25,49.37,46.03,48.32,51.38,
Alabama,Huntsville,1,41.09,39.30,41.04,44.83,46.71,42.06,36.94,44.08,35.76,40.27,45.78,48.16,43.56,40.30,40.71,36.86,37.35,47.54,45.66,34.29,41.04,39.95,50.50,37.66,42.78,46.76
